LocationName,Status,Resolution,Coordinates,LatitudeDecimal,LongitudeDecimal,Nation,ProvinceState,DistrictCounty,CityTown,Biome,ContinentOcean,ParkReserveName,Altitude,Rainfall,Temperature,Notes,Accuracy,Extent_km2,TimeAdded
"KG field site",NULL,SL,NULL,3.6,13.5,Cameroon,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2012-09-19 13:23:16"
"Khao Yai ",NULL,SL,NULL,14.4333,101.367,Thailand,NULL,NULL,NULL,NULL,NULL,"Khao Yai National Park",NULL,NULL,NULL,"Coordinates given in text of Gillespie et al. 2013",1,3,"2019-12-06 19:29:58"
Kibale,NULL,SL,"0 27'N; 30 25'E",0.45,30.41,Uganda,NULL,NULL,NULL,NULL,Africa,2,0,0,NULL,"; from primary ref; matches closely value from Geonames: 00° 30' 00" N 030° 25' 00" E",1,1,"2011-07-20 19:34:45"
Kibwe,NULL,SL,"02° 57' 00" S; 025° 57' 00" E",-2.95,25.95,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"Zaire, dense tropical rain forest; Geonames: Kindu (coordinates not right for Kibwe, so used nearby Kindu, approx 60 km away)",3,2,"2019-12-03 18:59:29"
Kibwezi,NULL,SL,"02° 25' 00" S; 037° 58' 00" E",-2.41,37.96,Kenya,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; Geonames: Kibwezi PPL",2,2,"2011-07-20 19:35:14"
Kilamanjaro,NULL,SL,"03° 04' 00" S; 037° 22' 00" E",-3.06,37.36,Tanzania,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; Geonames:  Kilimanjaro MTN",2,2,"2011-07-20 19:36:00"
Kilifi,NULL,SL,"03° 38' 00" S; 039° 51' 00" E",-3.63,39.85,Kenya,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; Geonames: Kilifi PPL",2,2,"2011-07-20 19:36:06"
Kimana,NULL,SL,"02° 48' 00" S; 037° 32' 00" E",-2.8,37.53,Kenya,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; Geonames: Kimana PPL, based also on Fig 1 Dracopoli et al. 1986",2,2,"2011-07-20 19:36:26"
Kimani,NULL,SL,"02° 08' 00" S; 037° 5' 00" E",-2.13,37.08,Kenya,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; from primary ref, Kuntz and Myers 1967a",1,1,"2011-07-20 19:36:34"
"Kinabatangan ",NULL,O,NULL,5.61589,118.358,Malaysia,Sabah,,,NULL,NULL,"Lower Kinabatangan Wildlife Sanctuary",NULL,NULL,NULL,"From GoogleMaps: Kinabatangan Wildlife Sanctuary",1,3,"2020-01-14 21:16:31"
Kindia,NULL,SL,"10° 04' 00" N; 012° 51' 00" W",10.06,-12.85,Guinea,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: Kindia PPLA",2,2,"2011-07-20 19:36:54"
Kinkasan,NULL,SL,NULL,38.3,141.6,Japan,Miyagi,NULL,NULL,NULL,Eurasia,NULL,NULL,NULL,NULL,"Acmemapper2.0;kinkasan,miyaki,japan",2,2,"2012-09-19 13:23:38"
Kinkazan,NULL,SL,NULL,38.27,141.58,Japan,NULL,Miyagi,Ishinomaki,NULL,Eurasia,NULL,NULL,NULL,NULL,"Acmemapper 2.0;kinkazan,miyagi,japan",2,2,"2012-09-19 13:23:44"
Kinshasa,NULL,SL,NULL,-4.32,15.3,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,0,NULL,NULL,NULL,"Acmemapper2.0;kinshasa,zaire",2,2,"2019-12-03 18:59:01"
Kiranima,NULL,SL,"02° 10' 00" S; 034° 20' 00" E",-2.16,34.33,Tanzania,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"Grumeti River, Tanzania; Geonames: used coordinates for Grumeti River",3,2,"2011-07-20 19:37:59"
Kirindy,NULL,SL,NULL,-20.15,44.22,Madagascar,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"Acmemapper2.0;kirindy,madagascar",2,2,"2018-08-09 16:57:07"
Kisangani,NULL,SL,,NULL,NULL,"Democratic Republic of the Congo",,,,Rainforest,Africa,,NULL,NULL,NULL,"A map is provided in the sup. info. Samples were collected at 3 sites within the Kisangani Region: one site in Wanie-Rukula forest, one in Obiatuku forest, and one in Parisi forest. ",1,,"2020-01-24 19:58:04"
Kisingani,NULL,P,NULL,0.516666,25.2,"Democratic Republic of Congo",NULL,NULL,Kisingani,NULL,Africa,NULL,NULL,NULL,NULL,"Acmemapper2.2: Kisingani, Democratic republic of congo",2,2,"2019-12-06 19:37:54"
Kiso,NULL,SL,NULL,35.8,137.7,Japan,Nagano,NULL,NULL,NULL,Eurasia,NULL,NULL,NULL,NULL,"Acmemapper2.0;kiso,nagano,japan",2,2,"2012-09-19 13:23:51"
Kivu,NULL,SL,"02° 30' 00" S; 028° 00' 00" E",-2.5,28,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; Geonames: Kivu ADM1",2,2,"2019-12-03 18:59:17"
"KK field site",NULL,SL,NULL,2.2,14.1,Cameroon,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2012-09-19 13:23:54"
Klang,NULL,SL,"03° 02' 00" N; 101° 27' 00" E",3.03,101.45,Malaysia,NULL,NULL,NULL,NULL,Eurasia,1,0,0,NULL,"Selangor; Geonames: Klang PPL",2,2,"2011-07-20 19:38:44"
"KM field site",NULL,SL,NULL,5,12.8,Cameroon,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2012-09-19 13:23:56"
"KO field site",NULL,SL,NULL,4.2,21.4,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2019-12-03 19:01:44"
Kodera,NULL,SL,"S 0° 58' 0'' E 34° 29' 0''",-0.97,34.48,Kenya,Nyanza,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"GeoNameID: 190835",2,2,"2019-12-06 19:38:16"
Kokolopori,NULL,O,NULL,0.25,23,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,NULL,"Kokolopori Bonobo Reserve",NULL,NULL,NULL,"This map http://apes.eva.mpg.de/apeswiki/index.php/Image:2Maringa-Lopori-Wamba_SOF_2008.jpg",2,3,"2019-12-06 19:43:04"
Kolda,NULL,SL,"12° 53' 00" N; 014° 57' 00" W",12.88,-14.95,Senegal,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; Geonames:  Kolda PPL",2,2,"2011-07-20 19:39:09"
Kole,NULL,SL,"2° 22' 12.36'' N, 32° 45' 47.88'' E",2.3701,32.7633,"Democratic Republic of Congo",Sankuru,,,NULL,NULL,,NULL,NULL,NULL,,1,1,"2019-12-06 19:44:55"
Kolpetta,NULL,SL,NULL,11.6087,76.083,India,Kerala,,,NULL,NULL,,NULL,NULL,NULL,"Geonames: Kalpatta, India
Same location, sometimes spelled differently",2,2,"2020-01-14 21:15:37"
Koshima,NULL,SL,"31° 27' 00" N; 131° 21' 00" E",31.45,131.35,Japan,NULL,NULL,NULL,NULL,Eurasia,1,0,0,NULL,"used nearby Ichiki; Geonames: Ichiki PPL (too many "Koshima ISL" to identify locality)",2,2,"2011-07-20 19:39:23"
"Kosumpee Forest Park",NULL,SL,NULL,16.25,103.067,Thailand,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2,"2019-12-06 19:45:49"
Kouande,NULL,SL,"10° 20' 11" N; 001° 41' 37" E",10.33,1.68,Togo,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"Atacora Region; Geonames: Kouande PPL",2,2,"2011-07-20 19:39:28"
"KR field site",NULL,SL,NULL,1.9,29.6,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2019-12-03 19:01:52"
"Kr. Kahang",NULL,SL,"02° 15' 00" N; 103° 35' 00" E",2.25,103.58,Malaysia,NULL,NULL,NULL,NULL,Eurasia,1,0,0,NULL,""practically no human habitation", virgin rainforest near a game preserve; Geonames: Kangkar Kahang",2,2,"2011-07-20 19:39:55"
Kruger,NULL,SL,"23° 50' 00" S; 031° 30' 00" E",-23.83,31.5,"South Africa",NULL,NULL,NULL,NULL,Africa,2,0,0,NULL,"; Geonames: Kruger National Park",2,2,"2011-07-20 19:40:06"
"KS field site",NULL,SL,NULL,0.5,23.8,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2019-12-03 19:01:59"
"Kuala Selangor",NULL,SL,"03° 21' 00" N; 101° 15' 00" E",3.35,101.25,Malaysia,NULL,NULL,NULL,NULL,Eurasia,1,0,0,NULL,"swamp forest; Geonames: Kuala Selangor PLL, other options very close by",2,2,"2011-07-20 19:40:17"
"Kuang Forest",NULL,SL,"03° 17'00" N; 101° 32' 00" E",3.28,101.53,Malaysia,NULL,NULL,NULL,NULL,Eurasia,1,0,0,NULL,"north of Kuala Lumpur; Geonames: Kuang forest reserve",2,2,"2011-07-20 19:40:24"
"Kuiseb River",NULL,SL,"23° 33' 00" S; 015° 02' 00" E",-23.55,15.03,Namibia,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"coordinates in primary source are incorrect; used Geonames for research station location; Geonames: Gobabeb PPL, nearly identical with coordinates for Kuiseb CNYN",2,2,"2011-07-20 19:40:54"
Kumaon,NULL,SL,"28'29 79'39",28.483,79.65,"India ",Uttarakhand,,,NULL,NULL,,NULL,NULL,NULL,,1,2,"2019-12-06 19:47:06"
Kumba,NULL,SL,"04° 38' 00" N; 009° 25' 00" E",4.63,9.41,Cameroon,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; Geonames:  Kumba PPL - native",2,2,"2011-07-20 19:41:08"
Kurali,NULL,SL,"30.8310° N, 76.5748° E",30,77,"India ",,,,NULL,Eurasia,,NULL,NULL,NULL,,1,2,"2019-12-06 20:15:40"
"Kutai Kartanegara",NULL,SL,NULL,-0.44019,116.981,Indonesia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2,"2019-12-06 20:12:52"
KwaZulu-Natal,NULL,P,NULL,-29,30,"South Africa",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2,"2019-12-06 20:14:42"
"Kwela Lodge",NULL,SL,,-29.4932,30.3612,"South Africa",KwaZulu-Natal,,Pietermaritzburg,NULL,NULL,"Kwela Lodge",NULL,NULL,NULL,"Now closed, but still on Google maps",1,1,"2020-08-23 22:15:45"
Kyasanur,NULL,SL,"14° 15'00" N; 075° 04' 00" E",14.25,75.06,India,NULL,NULL,NULL,NULL,Eurasia,2,0,0,NULL,"; Geonames: Kyasanor state forest;googlemaps;kyasanur state forest",2,2,"2011-07-20 19:41:33"
"Kyushu Island",NULL,SL,"33° 00' 00" N; 131° 00' 00" E",33,131,Japan,NULL,NULL,NULL,NULL,Eurasia,1,0,0,NULL,"Island; Geonames:  Kyushu ISL",2,2,"2011-07-20 19:41:39"
"La Chorrera",NULL,SL,"08° 52' 49" N; 079° 47' 00" W",8.88,-79.78,Panama,NULL,NULL,NULL,NULL,NorthAmerica,1,0,0,NULL,"; Geonames: La Chorrera PPL, took first value of two because close geographic proximity",2,2,"2011-07-20 19:41:54"
"La Libertad",NULL,SL,NULL,17.688,-91.7202,Mexico,Campeche,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"See Figure 1 in Solórzano-García and Pérez-Ponce de León 2017",2,2,"2019-12-11 18:55:40"
"La Pacifica",NULL,SL,"10° 28' N; 85° 07' W",10.46,-85.11,"Costa Rica",NULL,NULL,NULL,NULL,NorthAmerica,2,0,0,NULL,"; primary source",1,1,"2011-07-20 19:42:00"
"La Selva",NULL,SL,"10° 26' N; 83° 59' W",10.43,-83.98,"Costa Rica",NULL,NULL,NULL,NULL,NorthAmerica,2,0,0,NULL,"Province Heredia, northeastern Costa Rica; ",2,2,"2011-07-20 19:42:06"
Lacandona,NULL,O,NULL,16,-91,Mexico,Chiapas,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"See Figure 1 in Solórzano-García and Pérez-Ponce de León 2017",2,3,"2019-12-11 18:56:34"
"Lago Preto",NULL,SL,"4° 27.5' S, 71° 45.9' W",-4.45833,-71.765,Peru,Loreto,,,NULL,NULL,,NULL,NULL,NULL,"Formal name:  Lago Preto Conservation Concession",1,2,"2020-01-14 21:17:02"
Lagos,NULL,SL,"06° 27' 11" N; 003° 23' 45" E",6.45,3.38,Nigeria,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames:  Lagos PPL",2,3,"2011-07-20 19:42:31"
Lajeado-Ipuerias,NULL,SL,"9 44 58 S  48 21 23 W",-9.749,-48.356,Brazil,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2,"2019-12-11 19:08:52"
"Lake Albert",NULL,SL,"01° 40 00 N; 031° 00 00 E",1.66,31,Uganda,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames:  Albert LK",2,2,"2011-07-20 19:42:50"
"Lake Baringo",NULL,SL,"00° 38' 00" N; 036° 05' 00" E",0.63,36.08,Kenya,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"map in reference; Geonames:  Baringo LK",2,2,"2011-07-20 19:42:56"
"Lake Edward",NULL,SL,"00° 25' 00" S; 029° 30' 00" E",-0.41,29.5,Uganda,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"on border with Dem Rep Congo; Geonames: Edward, Uganda LK",2,2,"2011-07-20 19:43:17"
"Lake Magadi",NULL,SL,NULL,-1.87054,36.2755,Kenya,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2,"2019-12-11 19:11:35"
"Lake Manyara",NULL,SL,"03° 35' 00" S; 035° 50' 00" E",-3.58,35.83,Tanzania,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; Geonames: Manyara LK - sampling area near to lake, see fig 1 in Fenwick 1969",3,2,"2011-07-20 19:43:30"
"Lake McIlwaine",NULL,SL,"17° 54' 00" S; 030° 48' 00" E",-17.9,30.8,Zimbabwe,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"20 miles from Salisbury; Geonames:  McIlwaine, Lake RSV",3,2,"2011-07-20 19:43:36"
"Lake Nabugabo",NULL,SL,NULL,-0.371,31.883,Uganda,NULL,NULL,NULL,NULL,Africa,NULL,NULL,1245,21.2,"taken from reference (Gillespie et al. 2005a); rainfall and temp taken as midpoints of ranges given in reference",1,1,"2011-07-20 19:43:46"
"Lake Naivasha",NULL,SL,"00° 46' 00" S; 036° 21' 00" E",-0.76,36.35,Kenya,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; Geonames:  Naivasha LK",2,2,"2011-07-20 19:43:58"
"Lake Nkuruba",NULL,SL,NULL,0.53,30.41,Uganda,NULL,"Kibale National Park",NULL,NULL,Africa,NULL,NULL,NULL,NULL,"Forest fragment neighboring Kibale National Park;Acmemapper2.0;could not parse Lake Nkuruba,used Kibale nationl park,uganda",3,2,"2012-09-19 13:24:17"
"Lake Nyaherya Fragment",NULL,SL,NULL,0.53,30.41,Uganda,NULL,"Kibale National Park",NULL,NULL,Africa,NULL,NULL,NULL,NULL,"Forest fragment neighboring Kibale National Park.;Acmemapper could not localize,used kibale national park",3,2,"2012-09-19 13:24:26"
"Lake Saka",NULL,SL,NULL,0.7,30.2,Uganda,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"30 km NW of Kibale National Park; Acmemapper 2.0;Lake Saka,uganda",2,2,"2020-01-08 18:24:05"
Lamanai,NULL,SL,NULL,17.7667,-88.65,Belize,,"Orange Walk District",,NULL,NULL,"Lamanai Archaeological Reserve",NULL,NULL,NULL,,1,2,"2020-01-14 21:16:04"
Lambomakandro,NULL,SL,NULL,-22.7,44.7,Madagascar,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"Stated as "Lamboromakandro" in the SW in-text, but source says it is actually "Lambomakandro"
http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.494.1741&rep=rep1&type=pdf
This aligns w the original source text saying it's in the district of Tulear. ",1,2,"2019-12-11 19:19:48"
Lampung,NULL,P,"05° 00' 00" S; 105° 00' 00" E",-5,105,Indonesia,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"Lampung Province; Geonames: Lampung ADM1",2,3,"2011-07-24 19:51:07"
Lassance,NULL,P,NULL,-17.9101,-44.7086,Brazil,"Minas Gerais",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Chagas discovered T. minasense in a tamarin from Lassance, Brazil",1,2,"2020-12-09 19:10:07"
"LB field site",NULL,SL,NULL,2,15.5,Cameroon,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2012-09-19 13:24:42"
"Lekedi Park",NULL,SL,NULL,-1.79716,13.0188,Gabon,NULL,NULL,Bakoumba,NULL,NULL,NULL,NULL,NULL,NULL,"Coordinates from Google Maps: Parc de la Lekedi",1,3,"2019-12-11 19:24:05"
Leopoldville,NULL,SL,NULL,-4.32,15.3,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,1,NULL,NULL,NULL,Acmemapper2.0;Leopoldville,2,2,"2019-12-03 18:58:52"
Lesio-Louna,NULL,O,NULL,-3.2757,15.4775,"Republic of the Congo",NULL,NULL,NULL,NULL,NULL,"Lésio-Louna and South-West Léfini Gorilla Reserves",NULL,NULL,NULL,"Google maps: Lesio-Louna Wildlife Reserve",3,3,"2020-01-15 20:20:20"
Leticia,NULL,SL,NULL,-4.21528,-69.9406,Colombia,NULL,NULL,NULL,NULL,SouthAmerica,0,0,0,NULL,"Geonames: Leticia",3,3,"2020-01-08 18:24:55"
"LH field site",NULL,SL,NULL,5.4,9.4,Cameroon,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2012-09-19 13:24:45"
LIBERIA,NULL,N,"06° 30' 00" N; 009° 30' 00" W",6.5,-9.5,Liberia,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames:  Liberia PCLI",2,3,"2011-07-24 19:52:58"
Lingunda-Boyela,NULL,SL,NULL,0.5813,20.81,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Figure 1 and Google Maps approximation",3,2,"2020-01-08 18:32:04"
"LK field site",NULL,SL,NULL,1,7.2,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2019-12-03 19:02:05"
"LM field site",NULL,SL,NULL,2.7,12.5,Cameroon,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2012-09-19 13:24:54"
Loango,NULL,SL,NULL,-2.154,9.58969,Gabon,NULL,NULL,NULL,NULL,NULL,"Loango National Park",NULL,NULL,NULL,"See Figure 1 "LO"
Geonames: Loango National Park",2,2,"2019-12-05 18:17:43"
Lokobe,NULL,SL,NULL,-13.42,48.3,Madagascar,NULL,"Nosy Be",NULL,NULL,Africa,NULL,NULL,NULL,NULL,"Acmemapper2.0;Lokobe,madagascar",2,2,"2012-09-19 13:25:03"
Lokoue,NULL,SL,"0°54.38N, 15°10.55E",0.015,15,"Republic of the Congo",,,,Wetlands,Africa,"Odzala-Kokoua National Park",NULL,NULL,NULL,,1,2,"2020-01-15 20:20:12"
Lomako,NULL,SL,"00° 50' 00" N; 020° 50' 00" E",0.83,20.83,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; Geonames: Lomako STM, used first of two values",2,2,"2019-12-03 19:00:02"
Lope,NULL,SL,"00° 30' 00" S; 011° 40' 00" E",-0.5,11.66,Gabon,NULL,NULL,NULL,NULL,Africa,2,0,0,NULL,"; Geonames: Lope RES",2,2,"2011-07-24 19:53:59"
Loreto,NULL,P,"05° 00' 00" S; 075° 00' 00" W",-5,-75,Peru,,,,NULL,SouthAmerica,0,0,0,NULL,"; Geonames:  Loreto ADM1
",2,2,"2011-07-24 23:55:38"
"Los Tuxtlas",NULL,SL,NULL,19.2,-96.1,Mexico,NULL,NULL,Veracruz,NULL,SouthAmerica,NULL,NULL,NULL,NULL,"googlemaps;Los tuxtlas,vera cruz,mexico",2,2,"2012-09-19 13:25:17"
Loskop,NULL,SL,"25° 26' 30" S; 29° 18' 39" E",-25.44,29.3,"South Africa",NULL,NULL,NULL,NULL,Africa,1,0,726,NULL,"Loskop Dam Nature Reserve in southeastern Transvaal; from source (Pettifer 1984); no data on altitude, rainfall a midpoint of range",2,2,"2011-07-24 19:56:09"
Lossi,NULL,SL,NULL,0.2,14.1,Congo,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"Amemapper2.0;Lossi,congo",2,2,"2011-07-24 19:56:19"
"Lotti Forest",NULL,SL,NULL,4.029,32.521,"South Sudan",NULL,Equatoria,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"From https://ebird.org/hotspots?hs=L7785944&yr=all&m=",2,2,"2020-01-13 19:40:58"
"LU field site",NULL,SL,NULL,-1.1,28.1,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"See Figure 1",2,2,"2019-12-03 19:02:11"
Lubutu,NULL,P,NULL,-0.73333,26.5833,"Democratic Republic of Congo",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Geonames: Lubutu, DR Congo",2,2,"2020-01-13 20:02:44"
Lucknow,NULL,SL,"26° 51' 00" N; 080° 55' 00" E",26.85,80.92,India,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"; Geonames: Lucknow PPLA",2,2,"2011-07-24 19:56:34"
Mabira,NULL,SL,"00° 30' 00" N; 032° 55' 00" E",0.5,32.91,Uganda,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,""forest," Mengo District; Geonames: Mabira Forest Reserve FRST",2,2,"2011-07-24 19:56:46"
Macuspana,NULL,SL,"N 17° 45' 41'' W 92° 35' 47''",17.76,-92.6,Mexico,Tabasco,,,NULL,SouthAmerica,,NULL,NULL,NULL,"Geonames: GeoNameID 3523791

see also coordinates in Gonzaelz-Hernandez et al. 2014",2,2,"2020-01-13 21:09:27"
MADAGASCAR,NULL,N,"20° 00' 00" S; 047° 00' 00" E",-20,47,Madagascar,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames:  Madagascar",2,4,"2020-01-14 18:01:33"
Magadi,NULL,SL,"01° 54' 00" S; 036° 17' 00" E",-1.9,36.28,Kenya,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; Geonames: Magadi",2,2,"2011-07-24 19:57:55"
Mahabo,NULL,SL,"S 20° 38' 9'' E 45° 9' 54''",-20.636,45.17,Madagascar,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"Geonames: many hits in Madagascar corresponding to 2nd order admin. division. Entered coords for the division (GeoNameID: 8335340)",2,2,"2020-01-14 17:55:02"
Mahale,NULL,SL,"6° 07' S; 29° 44' E",-6.11,29.73,Tanzania,NULL,NULL,NULL,NULL,Africa,2,0,0,NULL,"; not in Geonames, obtained information from http://weber.ucsd.edu/~jmoore/apesites/Mahale/Mahale.html",2,2,"2011-07-24 19:58:13"
Mahambo,NULL,SL,NULL,-17.5,49.5,Madagascar,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: multiple hits in at least two locations,  Acmemapper 2.0 and Google maps;Mahambo,Madagascar",2,2,"2020-01-14 17:56:11"
Mahasarakarm,NULL,P,"15° 00' 00" N; 100° 00' 00" E",16,103.1,Thailand,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"; not in Geonames, Acmemapper 2.0 and googlemaps;Mahasarakham,Thailand,seems to have been misspelt",2,3,"2020-01-14 20:40:13"
Mahole,NULL,SL,"04° 50' 00" N; 009° 38' 00" E",4.83,9.63,Cameroon,NULL,NULL,NULL,NULL,Africa,1,0,0,NULL,"; Geonames:  Mahole PPL, used first value, another town same name 1deg off N and E,Acmemapper could not parse",2,2,"2011-07-24 20:01:03"
Mainaro,NULL,SL,NULL,0.45,30.4333,Uganda,NULL,"Kibale National Park",NULL,NULL,Africa,NULL,1394,1351,NULL,NULL,1,2,"2020-01-14 17:56:42"
Maje,NULL,SL,"08° 40' 00" N; 078° 35' 00" W",8.66,-78.58,Panama,NULL,NULL,NULL,NULL,NorthAmerica,1,0,0,NULL,"tropical humid to dry transitional forest; Geonames:  Maje PPL, used one closest to island and river coordinates, but all close to one another",2,2,"2011-07-24 20:01:18"
Majunga,NULL,SL,"15° 43' 00" S; 046° 19' 00" E",-15.71,46.31,Madagascar,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: Majunga PPLA",2,2,"2011-07-24 20:01:30"
Makira,NULL,SL,"15° 24' 28.00" S; 49° 21' 56.51" E",15.41,49.37,Madagascar,,,,NULL,NULL,,NULL,NULL,NULL,,1,2,"2020-01-14 17:57:11"
Makona,NULL,SL,"01° 21' 00" N; 010° 21' 00" E",1.35,10.35,"Equatorial Guinea",NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"most likely this is in Equatorial Guinea, based on results in Geonames; Geonames: Makona, found Makonanam, used 1 of 3 nearby PPL",3,2,"2011-07-24 20:01:50"
"Malay Peninsula",NULL,P,"06° 00' 00" N; 102° 00' 00" E",6,102,Malaysia,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"map in reference; Geonames: Malay Peninsula PEN",2,2,"2011-07-24 20:01:55"
MALAYSIA,NULL,N,"02° 30' 00" N; 112° 30' 00" E",2.5,112.5,Malaysia,NULL,NULL,NULL,NULL,Eurasia,0,0,0,NULL,"; Geonames:  Malaysia",2,4,"2011-07-24 20:02:21"
Malebo,NULL,SL,NULL,-2.48454,16.5015,"Democratic Republic of Congo",,,,NULL,NULL,,NULL,NULL,NULL,"WWF field site, coordinates from Bastin et al. 2014",2,1,"2020-01-14 21:16:50"
MALI,NULL,N,"17° 00' 00" N; 04° 00' 00" W",17,-4,Mali,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: Mail, Republic of  PCLI",2,4,"2011-07-24 20:02:35"
Mambele,NULL,SL,NULL,2.41626,15.4,Cameroon,,,Mambele,NULL,NULL,,NULL,NULL,NULL,,1,2,"2020-01-14 21:15:57"
Manakara,NULL,SL,NULL,-22.13,48.01,Madagascar,NULL,NULL,NULL,NULL,Africa,0,NULL,NULL,NULL,"Acmemapper 2.0;Manakara,Madagascar",2,2,"2011-07-24 20:02:48"
Mananara,NULL,SL,NULL,-16,49,Madagascar,NULL,NULL,NULL,NULL,Africa,0,0,0,NULL,"; Geonames: multiple hits in at least two localities;Acmemapper 2.0;mananara,madagascar",2,2,"2020-01-14 18:01:12"
Manaus,NULL,SL,"S 1° 30' 0'' W 46° 10' 58''",-1.5,-46.18,Brazil,NULL,NULL,NULL,NULL,SouthAmerica,NULL,NULL,NULL,NULL,"Geonames: 3 hits in Northeast Brazil, 2 are in a major city, 1 is forest (GeoNameId: 3395682) and this was used",2,2,"2020-01-14 18:01:09"
Mandena,NULL,SL,NULL,-24.948,46.995,Madagascar,NULL,NULL,NULL,NULL,Africa,NULL,NULL,NULL,NULL,"12 km northeast of Tolagnaro/Fort Dauphin",2,2,"2012-06-14 21:49:10"
